,GB092,GB299,GB107,GB115,GB089,GB155,GB314,GB171,Family_name_Code,GB071,GB114,Macroarea_Code,GB090,GB051,GB074,GB091,GB020,GB133,GB030,GB072,GB113,GB131,GB186,GB082,GB073,GB130,GB083,GB070,GB022,GB170,GB315,GB172
GB113,0.104591614918933,0.1532397164223172,0.122273487328077,0.2737560630918569,0.0646561492813921,0.6834900609022015,0.0764137647592274,0.0,0.4139315034897522,0.0579221557426725,0.1906667086122174,0.145914405664416,0.1118105404591201,0.0152436228860173,0.0,0.0573454829599106,0.0,0.0121161879022219,0.0468872286847578,0.1721764410118642,0.0,0.1269985288450535,0.0,0.0,0.1626570652600882,0.1455501646967343,0.0818556583020986,0.1049162510454243,0.0650480105400011,0.0,0.1036802966908604,0.0642965107302347
GB131,0.0249568915532463,0.1423105592810735,0.1567331258986475,0.1516520520354878,0.0873751943875426,0.1508550381202615,0.0758286448752492,0.0507859817206945,0.5145969313789438,0.0110497177860061,0.0620650415357978,0.34129667748744,0.0,0.0551695134615137,0.2031824716626137,0.0592726666650943,0.1810852943624686,0.2979072111952179,0.0,0.0687336123449056,0.1269985288450535,0.0,0.0697250023402611,0.0802053872451499,0.0,0.8150291019264857,0.0651010814197172,0.0764863618162517,0.3076405818452624,0.0696008988093149,0.0756191924189771,0.0
GB186,0.0,0.0766312696909306,0.0977409957375411,0.0202187907566221,0.0,0.0,0.0,0.1764573897888912,0.2061818645471234,0.0,0.0679501961547046,0.1575641822907326,0.0,0.1333703820860543,0.1792613653114922,0.0,0.4895795809648037,0.1473241185162402,0.1050470021012449,0.087107233273327,0.0,0.0697250023402611,0.0,0.0419356836302105,0.0,0.1075813933200022,0.0089005630675595,0.1170863436087675,0.3995015627519367,0.0885482831195643,0.080296039822566,0.5746744033268869
GB082,0.0285047726640269,0.1104491896409708,0.1987353891680048,0.0357120711872156,0.1780886824021147,0.0,0.0395783139568886,0.148790615860523,0.474225375623061,0.216699207328535,0.116882956124885,0.2640944393757894,0.0070236331642968,0.1749886571030707,0.2622627804395116,0.2005476584760621,0.0836789206186563,0.2442341108793053,0.1365121812680882,0.2729142308547488,0.0,0.0802053872451499,0.0419356836302105,0.0,0.2073220907543432,0.1028177100085884,0.5768281767686558,0.2838204784905805,0.0372630648000064,0.1800723964326512,0.0650786153537441,0.0320132377923485
GB073,0.0854033774793232,0.1796687068245013,0.1902859162163274,0.042263563475307,0.2645294514844182,0.1371153980848656,0.0269146423726556,0.066370755288089,0.475492638792007,0.5426505256878088,0.0857124876502111,0.2554458645622613,0.0706909498416319,0.0957511418232591,0.314828286131414,0.269522437314589,0.0636455429773691,0.2878985668273743,0.0347934561674448,0.6229073934088866,0.1626570652600882,0.0,0.0,0.2073220907543432,0.0,0.0,0.258787764086849,0.5398605016195835,0.0379941127618127,0.0591800686717929,0.0222532598895648,0.0
GB130,0.0515151742512307,0.1038611307692902,0.1689618765683508,0.1587775976624401,0.0828355749955338,0.1538693342119503,0.0704914523237378,0.083599120050269,0.4538365285291086,0.0431712542338099,0.0662983838326505,0.2586482019238579,0.0,0.0550119399744361,0.2331378529495341,0.0598741278350367,0.1744204045200772,0.3384078613806677,0.0245467080618934,0.091646553132957,0.1455501646967343,0.8150291019264857,0.1075813933200022,0.1028177100085884,0.0,0.0,0.0871832060513043,0.1016931208852101,0.3019751527440358,0.0873134821116465,0.0775027045230498,0.0
GB083,0.0141901288295656,0.2321058979035058,0.294619226229168,0.0992721790582109,0.2694396321803913,0.1122820389248591,0.1007141547133677,0.2157478027768707,0.5347202728648947,0.2591777580533806,0.2516950377259057,0.2674700049393761,0.0484475244045886,0.1428871472771345,0.2854142716772418,0.3194837553539646,0.1011384357335172,0.2389941801617693,0.0937273631031866,0.3436993884015399,0.0818556583020986,0.0651010814197172,0.0089005630675595,0.5768281767686558,0.258787764086849,0.0871832060513043,0.0,0.3184305564781865,0.0548103144125795,0.2230466878118751,0.1097542631347524,0.0168675334735993
GB070,0.2329158905587212,0.2702016798144714,0.2404027344670699,0.0153946894388933,0.2937748891979681,0.1055317801259978,0.0719545124753683,0.1116816745530709,0.6393664046250761,0.650821685750728,0.1242237383568863,0.4097212252835578,0.2135255100330033,0.117709590275772,0.4651802908518911,0.3157221857741792,0.1433966974854798,0.4627506804115147,0.0,0.632310306317137,0.1049162510454243,0.0764863618162517,0.1170863436087675,0.2838204784905805,0.5398605016195835,0.1016931208852101,0.3184305564781865,0.0,0.1398346809263735,0.080927843497767,0.0792507623724813,0.0628760117543849
GB022,0.0,0.1274190521773604,0.1458196514494714,0.071817443266002,0.0360692704689883,0.0647097623693945,0.045621910027891,0.0,0.4289697045416568,0.0253091461160334,0.0084995342528274,0.2684839965761537,0.0098201214711726,0.0746868010133466,0.2446760996651936,0.0229100048545491,0.554138567768335,0.2228803963942917,0.0,0.1113250244054666,0.0650480105400011,0.3076405818452624,0.3995015627519367,0.0372630648000064,0.0379941127618127,0.3019751527440358,0.0548103144125795,0.1398346809263735,0.0,0.0191040358385113,0.0556029910106206,0.2643675302672895
GB170,0.2211364713857265,0.0566975124010578,0.1456277380162958,0.1092228970899244,0.0209827393865443,0.0,0.3603971302487355,0.7533963961268858,0.6600855701628277,0.0571947667002925,0.1947308377767814,0.4178963311738174,0.2341462631263526,0.4306002854669902,0.1117792690750537,0.0168282481885575,0.02423036575465,0.1314342607232039,0.4380470016362978,0.03017516083258,0.0,0.0696008988093149,0.0885482831195643,0.1800723964326512,0.0591800686717929,0.0873134821116465,0.2230466878118751,0.080927843497767,0.0191040358385113,0.0,0.4628279727367889,0.264883110669804
GB315,0.1683587084888934,0.1091298575398249,0.1232022838815936,0.0886065035450912,0.0648490734207154,0.1155813919137233,0.74367603252346,0.4765971407475368,0.4883554686466221,0.052613979857384,0.1213028055810782,0.4412993229790839,0.1570584054358361,0.1364239653906145,0.1048201711759263,0.0686693691244656,0.023909367774711,0.0974374367410813,0.1522486375039816,0.0567067004179093,0.1036802966908604,0.0756191924189771,0.080296039822566,0.0650786153537441,0.0222532598895648,0.0775027045230498,0.1097542631347524,0.0792507623724813,0.0556029910106206,0.4628279727367889,0.0,0.1909341918906788
GB172,0.0,0.0577781095685888,0.0284347644450684,0.0,0.0588981470774327,0.0,0.0402676095678387,0.4146363478959591,0.300459271907916,0.0838755917581691,0.0,0.1724504766616106,0.0220839341842144,0.3168300498313401,0.1483366710047486,0.0583195461543408,0.3316929164154872,0.0998845434600607,0.3053578841228606,0.0604311204544511,0.0642965107302347,0.0,0.5746744033268869,0.0320132377923485,0.0,0.0,0.0168675334735993,0.0628760117543849,0.2643675302672895,0.264883110669804,0.1909341918906788,0.0
