	eng	ukr	ces	fra	ita	deu	lat	pol	rus	nob
ge	0.00447750069212258	0.002049469964664311	0.0019809011231335613	0.003478796706066887	0.002395755722837397	0.004499568845348393	0.0019239177962396153	0.0020895114561483874	0.00252761837842058	0.004347999521321154
au	0.001591881934535852	0.00044169611307420494	0.0012053596456803274	0.0022743823875413143	0.0013359710197055725	0.0024831914521158995	0.0011660107855997668	0.00139836535911469	0.0006148260920482492	0.0013163668275559457
ut	0.0021029878399386674	0.0015017667844522968	0.001952869503466577	0.002229566971038037	0.0019975335919636206	0.0021719820795269617	0.0020113686051595977	0.0018885968930571963	0.001541944802279736	0.0016753759623439307
ny	0.000766658858104223	0.001890459363957597	0.0020089327428005456	0.00035852333202621704	0.00011561287670528993	0.000350110544162555	0.0002915026963999417	0.006123875883019505	0.005318733653433267	0.0007778531253739678
ju	0.00036735736950827355	0.0008480565371024735	0.00022425295733587486	0.00033611562377457843	0.00013488168948950493	0.0003760446585449665	8.745080891998251e-05	0.0003294998834695534	0.0019030331420541047	0.00045873389445131435
ur	0.003742785953106033	0.002579505300353357	0.0030928220365906076	0.006352585289339532	0.0033848881124270997	0.0038771501001705166	0.003439731817519312	0.003407510990026601	0.003132685326150603	0.0031313574534285373
bk	3.7268138935621955e-05	0.00012367491166077738	0.00010278260544560932	3.9213489440367486e-05	6.4229375947383296e-06	3.2417642978014356e-05	0.0	9.643899028377173e-05	9.759144318226178e-05	7.977980773066337e-05
kh	0.00012245245650275785	0.003674911660777385	1.8687746444656237e-05	0.0001232423953840121	3.2114687973691644e-05	5.8351757360425836e-05	0.0	4.821949514188587e-05	0.0012979661943240816	0.00019944951932665843
ha	0.003993014885959495	0.002685512367491166	0.0022425295733587485	0.0032323119152988626	0.0011753975798371142	0.004266161815906689	0.0037603847835592477	0.0020734382911010924	0.0006928992465940586	0.0021141649048625794
az	0.0004099495282918415	0.0019434628975265019	0.0020836837285791708	0.0004929695815360484	0.0038858772448166893	0.0006742869739426986	8.745080891998251e-05	0.002169877281384864	0.0025178592341023537	0.0001396146635286609
z 	0.00018634069467810975	0.0014134275618374558	0.000700790491674609	0.00016805781188728922	0.00010276700151581327	0.0009854963465316363	2.915026963999417e-05	0.0022020236114794543	0.0016785728227349027	0.00011966971159599506
zi	0.0004152735481397875	0.0013604240282685512	0.0019995888695782177	0.00032491176964875916	0.005446651080338104	0.0020358279790193014	0.0002040518874799592	0.0009000972426485361	0.002147011750009759	0.00011966971159599506
bl	0.0012617927039632003	0.000989399293286219	0.0007475098577862495	0.0012716374432804884	0.0005780643835264496	0.0008558257746195789	0.0004081037749599184	0.0008759874950775932	0.0010735058750048795	0.0008975228369699629
iv	0.0019485912643482336	0.0021201413427561835	0.002177122460802452	0.00124922973502885	0.0020746088431004804	0.0017311021350259665	0.0016615653694796676	0.00022502431066213403	0.002254362337510247	0.0018349355778052574
bs	0.0003194411908767596	0.0003710247349823322	0.00032703556278148416	0.00034731947790039776	1.926881278421499e-05	0.0003760446585449665	0.00046640431423990674	0.00030539013589861045	0.00029277432954678535	0.00021939447125932427
so	0.0024277530506633727	0.0021024734982332156	0.0019995888695782177	0.0026273037925046215	0.0038088019936798295	0.0022238503082917848	0.001894767526599621	0.002025218795959206	0.002186048327282664	0.002692568510909889
ol	0.006676320889324275	0.008462897526501766	0.008587019491319542	0.0067839336731835755	0.008529661125812502	0.00729396967005323	0.0066462614779186704	0.008350009242069903	0.007934184330717882	0.007399577167019027
lu	0.0020816917605468834	0.0008657243816254417	0.0018874623909102802	0.0018318301495714527	0.001869074840068854	0.0020941797363797274	0.0056260020405188745	0.0020895114561483874	0.0008295272670492251	0.0017352108181419282
 c	0.012223949570884001	0.0014487632508833922	0.004569154005718451	0.012996470785950367	0.013224828507566221	0.004817261746532933	0.013438274304037313	0.005505059028698636	0.0018347191318265216	0.00201444014519925
bn	3.194411908767596e-05	0.00021201413427561838	0.00021490908411354675	5.601927062909641e-06	1.2845875189476659e-05	5.8351757360425836e-05	2.915026963999417e-05	8.840240776012409e-05	0.0001756645977280712	3.9889903865331685e-05
no	0.003945098707327981	0.004893992932862191	0.005952047242623012	0.003954960506414206	0.007322148858001695	0.0037474795282584593	0.0031482291211193704	0.005529168776269579	0.006158020064800718	0.003809485819139176
rm	0.0018953510658687735	0.0014487632508833922	0.0017379604193530301	0.0019718783261441935	0.001888343652853069	0.002159015022335756	0.001544964290919691	0.0018001944852970722	0.001541944802279736	0.0019745502413339184
ma	0.006889281683242115	0.007173144876325088	0.006979873297079105	0.006380594924654081	0.007758908614443902	0.0064835285956028705	0.007316717679638537	0.007345436426613947	0.007114416207986884	0.006262714906857075
l 	0.006308963519816002	0.0021024734982332156	0.0032329801349255294	0.0034843986331297965	0.0008735195128844128	0.005005284075805416	0.0006996064713598601	0.00320659642693541	0.003503532810243198	0.007020623080298377
it	0.00661775667099687	0.007049469964664311	0.006979873297079105	0.006811943308498124	0.007476299360275416	0.00602968159391067	0.008919982509838217	0.003214633009459058	0.0064898309716204085	0.00556464158921377
ty	0.0021029878399386674	0.0031625441696113074	0.0015697707013511242	0.0005882023416055123	0.00014130462708424326	0.0005900011021998612	0.000524704853519895	0.007120412115951813	0.0005953078034117968	0.0006980733176433045
  	0.0032423280873991097	0.0015017667844522968	0.0016725533067967334	0.002464847907680242	0.0023700639724584436	0.002502642037902708	0.002040518874799592	0.0021859504464321593	0.0023714720693289613	0.0013762016833539432
lc	0.00043656962753157145	1.76678445229682e-05	0.00019622133766889052	0.00048736765447313877	0.0006101790715001413	0.00022692350084610048	0.0004955545838799009	0.00020895114561483874	0.00010735058750048796	1.9944951932665843e-05
ll	0.0034978810401005175	0.00022968197879858656	0.0006073517594513278	0.0036636602991429053	0.004219869999743083	0.004402315916414349	0.003381431278239324	0.0011090483882633749	0.0017956825545536168	0.005425026925685109
ly	0.0018048427284536918	0.0007950530035335689	0.0014389564762385303	0.0009691333818833679	0.0002183798782211032	0.0011216504470392967	0.000524704853519895	0.0004259388737533251	0.000273256040910333	0.001156807212094619
bo	0.0016823902719509337	0.0016254416961130741	0.0016818971800190614	0.001747801243627808	0.001811268401716209	0.0015819809773271005	0.0013409124034397318	0.0016876823299660053	0.0017956825545536168	0.0017152658662092624
oa	0.0005004578657069234	0.00024734982332155476	0.0004952252807833903	0.00033611562377457843	0.00041749094365799144	0.000499231701861421	0.00017490161783996502	0.00040182912618238223	0.00020494203068274975	0.0005385137021819777
ar	0.009918648976723385	0.00833922261484099	0.009259778363327167	0.008464511792056468	0.01003905146057601	0.010017051680206435	0.010435796531117912	0.010190386639985213	0.00878322988640356	0.00829710000398899
rd	0.0016664182124070958	0.0009540636042402827	0.0009717628151221245	0.0012996470785950366	0.0012010893302160676	0.0011929692615909283	0.001224311324879755	0.0009643899028377173	0.0010149510090955226	0.001655431010411265
d 	0.0028909427774346744	0.0018021201413427562	0.0018874623909102802	0.0008402890594364461	0.0003339927549263931	0.001990443278850081	0.00023320215711995337	0.0016314262523004718	0.002049420306827497	0.003330806972755196
hm	0.0003141171710288136	0.00010600706713780919	8.409485900095308e-05	0.00021287322839056637	8.992112632633661e-05	0.00029824231539773207	0.00023320215711995337	9.643899028377173e-05	1.9518288636452357e-05	5.983485579799753e-05
ni	0.006287667440424218	0.015141342756183746	0.012231130048027509	0.006016469665564955	0.006827582663206844	0.0068401226683610285	0.007724821454598455	0.010977971727302681	0.008412382402310965	0.0056643663488771
sm	0.003018719253785378	0.0005123674911660778	0.0032610117545925138	0.0028681866562097363	0.003102278858258613	0.0027425325959400146	0.0017781664480396443	0.0006107802717972209	0.0006245852363664754	0.0033906418285531933
m 	0.0066443767702366	0.0044522968197879854	0.004251462316159294	0.002448042126491513	0.0016314261490635357	0.005303526391203148	0.01714035854831657	0.007015936543144394	0.004196432056837256	0.005644421396944433
st	0.009412867091168516	0.012473498233215547	0.0121283474425819	0.008049969189401153	0.009306836574775839	0.00980309523655154	0.008074624690278386	0.009282252814813029	0.01296990279892259	0.011069448322629542
